,Feature,Importance
36,market_segment_Online TA,0.20188843
14,required_car_parking_spaces,0.18324895
9,previous_cancellations,0.10156898
15,total_of_special_requests,0.04683851
32,market_segment_Groups,0.044777203
7,country,0.044108562
51,customer_type_Transient,0.04327584
49,customer_type_Transient-Party,0.036702264
0,lead_time,0.022155443
37,market_segment_Direct,0.019791948
10,previous_bookings_not_canceled,0.019496974
11,agent,0.01805668
40,distribution_channel_Direct,0.01803515
35,market_segment_Offline TA/TO,0.01694444
29,meal_SC,0.010714639
12,days_in_waiting_list,0.008600478
39,distribution_channel_Corporate,0.007951195
30,meal_BB,0.007312281
25,arrival_date_month_August,0.007293546
27,arrival_date_month_July,0.0067301164
18,arrival_date_month_September,0.006673995
31,meal_HB,0.00623213
28,hotel_Resort Hotel,0.006224815
13,adr,0.006196623
4,adults,0.005951978
19,arrival_date_month_February,0.0053605214
2,stays_in_weekend_nights,0.0051483414
38,distribution_channel_TA/TO,0.004973286
22,arrival_date_month_October,0.0048514525
3,stays_in_week_nights,0.0046644933
21,arrival_date_month_January,0.00452744
16,arrival_date_month_December,0.004407628
8,is_repeated_guest,0.0043806494
47,reserved_room_type_B,0.004270354
23,arrival_date_month_November,0.0042685275
41,reserved_room_type_A,0.0042086313
44,reserved_room_type_C,0.0041593984
17,arrival_date_month_May,0.0041072606
43,reserved_room_type_D,0.0040727095
20,arrival_date_month_June,0.0040158103
5,children,0.003947209
26,arrival_date_month_April,0.0038890769
1,arrival_date_day_of_month,0.003809964
48,reserved_room_type_H,0.00375332
33,market_segment_Corporate,0.003716187
24,arrival_date_month_March,0.0035744256
42,reserved_room_type_G,0.0025833878
46,reserved_room_type_F,0.0024785255
45,reserved_room_type_E,0.0023373687
6,babies,0.0020892143
34,market_segment_Complementary,0.0018636815
50,customer_type_Group,0.001769999
